t,,,8.73591334,0.097065704,0.970657038,,,,,2.183978335,2.911971113,,,2.911971113,,,2.183978335
R0 ,,,,,,,,,,,,,,17.1705,,,22.894
tiempo,infectados,Umbrales,"SI 0,01","SI 0,9","SI  ?=0,09","SI 0,08","SI 0,10","SI 0,05","SI 0,4","SI  ?=0,04","SI  ?=0,03","SIR ?=0,03   µ=0,05","SIR ?=0,03   µ=0,01","SIR ?=0,03   µ=0,02","SIR ?=0,03   µ=0,03","SIR ?=0,04   µ=0,01","SIR ?=0,04   µ=0,02"
,,,2761,,,,,,,,,,868,225,,842,225
,,,2765,,,,,,,,,,863,221,,833,221
,,,2769,,,,,,,,,,856,218,,826,216
,,,2775,,,,,,,,,,849,214,,814,216
,,,2779,,,,,,,,,,847,212,,808,214
,,,2784,,,,,,,,,,836,206,,798,211
,,,2788,,,,,,,,,,828,202,,794,209
,,,2797,,,,,,,,,,822,198,,781,208
,,,2805,,,,,,,,,,812,194,,775,207
,,,2811,,,,,,,,,,802,191,,760,202
,,,2813,,,,,,,,,,795,186,,756,202
,,,2820,,,,,,,,,,787,181,,747,200
,,,2825,,,,,,,,,,782,178,,741,197
,,,2829,,,,,,,,,,774,173,,735,194
,,,2833,,,,,,,,,,766,167,,729,191
,,,2838,,,,,,,,,,761,161,,723,188
,,,2841,,,,,,,,,,752,158,,718,184
,,,2844,,,,,,,,,,747,154,,712,182
,,,2852,,,,,,,,,,742,152,,706,176
,,,2856,,,,,,,,,,738,146,,699,172
,,,2860,,,,,,,,,,733,141,,691,172
,,,2865,,,,,,,,,,722,139,,686,171
,,,2867,,,,,,,,,,713,135,,680,167
,,,2872,,,,,,,,,,705,135,,679,164
,,,2875,,,,,,,,,,700,134,,671,161
,,,2883,,,,,,,,,,695,131,,663,157
,,,2886,,,,,,,,,,691,126,,655,154
,,,2891,,,,,,,,,,685,125,,645,151
,,,2893,,,,,,,,,,681,122,,641,146
,,,2895,,,,,,,,,,676,122,,639,145
,,,2898,,,,,,,,,,670,117,,633,144
,,,2901,,,,,,,,,,664,117,,628,143
,,,2907,,,,,,,,,,656,115,,621,141
,,,2909,,,,,,,,,,648,112,,618,139
,,,2914,,,,,,,,,,641,109,,612,135
,,,2917,,,,,,,,,,634,106,,603,131
,,,2923,,,,,,,,,,622,103,,599,128
,,,2927,,,,,,,,,,615,99,,596,125
,,,2930,,,,,,,,,,611,99,,589,123
,,,2932,,,,,,,,,,609,97,,583,123
,,,2937,,,,,,,,,,606,92,,581,120
,,,2938,,,,,,,,,,600,90,,579,118
,,,2943,,,,,,,,,,594,89,,573,116
,,,2947,,,,,,,,,,585,87,,562,114
,,,2948,,,,,,,,,,578,86,,557,113
,,,2950,,,,,,,,,,573,82,,554,112
,,,2953,,,,,,,,,,567,79,,549,110
,,,2956,,,,,,,,,,564,78,,544,108
,,,2959,,,,,,,,,,559,76,,539,107
,,,2960,,,,,,,,,,552,73,,533,106
,,,2964,,,,,,,,,,543,71,,530,103
,,,2968,,,,,,,,,,541,69,,527,102
,,,2972,,,,,,,,,,536,66,,520,98
,,,2977,,,,,,,,,,531,66,,516,96
,,,2981,,,,,,,,,,527,64,,515,95
,,,2983,,,,,,,,,,522,63,,510,94
,,,2988,,,,,,,,,,516,62,,503,93
,,,2992,,,,,,,,,,512,61,,500,92
,,,2993,,,,,,,,,,507,60,,493,92
,,,2994,,,,,,,,,,505,59,,491,91
,,,2999,,,,,,,,,,498,56,,487,89
,,,3006,,,,,,,,,,491,55,,482,87
,,,3009,,,,,,,,,,489,55,,478,87
,,,3014,,,,,,,,,,485,53,,472,86
,,,3015,,,,,,,,,,483,53,,464,85
,,,3018,,,,,,,,,,478,52,,461,84
,,,3019,,,,,,,,,,473,52,,452,80
,,,3023,,,,,,,,,,467,50,,446,78
,,,3027,,,,,,,,,,461,49,,437,74
,,,3030,,,,,,,,,,457,48,,433,73
,,,3032,,,,,,,,,,454,46,,428,72
,,,3036,,,,,,,,,,450,45,,424,71
,,,3041,,,,,,,,,,447,41,,422,71
,,,3042,,,,,,,,,,442,40,,419,70
,,,3046,,,,,,,,,,440,40,,417,70
,,,3051,,,,,,,,,,438,39,,416,68
,,,3051,,,,,,,,,,433,39,,411,68
,,,3051,,,,,,,,,,428,39,,407,68
,,,3056,,,,,,,,,,422,39,,403,68
