AIRLINE;AIRLINE ID;Source airport;Source;"Destination airport	";Target;Codeshare;Stops;Equipment;
2N;3652;TRF;331;ARN;368;;0;SF3;
2N;3652;VBY;373;ARN;368;;0;SF3 ATP;
2N;3652;VHM;363;ARN;368;;0;SF3;
2N;3652;VHM;363;HMV;2382;;0;SF3;
2N;3652;VXO;353;ARN;368;;0;SF3;
2N;3652;VXO;353;OSL;315;;0;SF3;
2O;146;ADQ;1738;AOS;3065;;0;BNI;
2O;146;ADQ;1738;KKB;3066;;0;BNI;
2O;146;ADQ;1738;KLN;3061;;0;BNI;
2O;146;ADQ;1738;KOZ;3063;;0;BNI;
2O;146;ADQ;1738;OLH;3062;;0;BNI;
2O;146;AOS;3065;KZB;3069;;0;BNI;
2O;146;KKB;3066;SYB;3068;;0;BNI;
2O;146;KLN;3061;KYK;3060;;0;BNI;
2O;146;KOZ;3063;ORI;3064;;0;BNI;
2O;146;SYB;3068;KPR;3067;;0;BNI;
2P;897;BSO;2608;MNL;1115;;0;DH4;
2P;897;BXU;2133;MNL;1115;;0;320;
2P;897;CBO;1116;MNL;1115;;0;320;
2P;897;CGY;1117;MNL;1115;;0;320;
2P;897;CRM;2612;MNL;1115;;0;DH4;
2P;897;DGT;1124;MNL;1115;;0;320;
2P;897;DWC;3202;MNL;1115;;0;330;
2P;897;GES;1119;MNL;1115;Y;0;320;
2P;897;KLO;1127;MNL;1115;;0;320;
2P;897;LGP;2136;MNL;1115;;0;320;
2P;897;MNL;1115;BSO;2608;;0;DH4;
2P;897;MNL;1115;BXU;2133;;0;320;
2P;897;MNL;1115;CBO;1116;;0;320;
2P;897;MNL;1115;CGY;1117;;0;320;
2P;897;MNL;1115;CRM;2612;;0;DH4;
2P;897;MNL;1115;DGT;1124;;0;320;
2P;897;MNL;1115;DWC;3202;;0;330;
2P;897;MNL;1115;GES;1119;Y;0;320;
2P;897;MNL;1115;KLO;1127;;0;320;
2P;897;MNL;1115;LGP;2136;;0;320;
2P;897;MNL;1115;MPH;1125;;0;DH3;
2P;897;MNL;1115;OZC;2137;;0;320;
2P;897;MNL;1115;PPS;1128;;0;320;
2P;897;MNL;1115;RXS;2614;;0;320;
2P;897;MNL;1115;SUG;2606;;0;DH4;
2P;897;MNL;1115;TUG;2609;;0;DH4;
2P;897;MNL;1115;ZAM;1120;;0;320;
2P;897;MPH;1125;MNL;1115;;0;DH3;
2P;897;OZC;2137;MNL;1115;;0;320;
2P;897;PPS;1128;MNL;1115;;0;320;
2P;897;RXS;2614;MNL;1115;;0;320;
2P;897;SUG;2606;MNL;1115;;0;DH4;
2P;897;TUG;2609;MNL;1115;;0;DH4;
2P;897;ZAM;1120;MNL;1115;;0;320;
2Z;1729;AUX;3143;PMW;2140;;0;AT7;
2Z;1729;BRA;3140;BSB;1169;;0;AT7;
2Z;1729;BRA;3140;SSA;1224;;0;AT7;
2Z;1729;BSB;1169;BRA;3140;;0;AT7;
2Z;1729;BSB;1169;OPS;3135;;0;AT7;
2Z;1729;BSB;1169;RAO;1219;;0;AT7;
2Z;1729;CAC;1171;GRU;1190;;0;AT7;
2Z;1729;CGB;1180;GYN;1189;;0;AT7;
2Z;1729;CGB;1180;OPS;3135;;0;AT7;
2Z;1729;CGR;1173;DOU;3144;;0;AT7;
2Z;1729;DOU;3144;CGR;1173;;0;AT7;
2Z;1729;DOU;3144;GRU;1190;;0;AT7;
2Z;1729;GIG;1188;RAO;1219;;0;AT7;
2Z;1729;GRU;1190;CAC;1171;;0;AT7;
2Z;1729;GRU;1190;DOU;3144;;0;AT7;
2Z;1729;GRU;1190;RAO;1219;;0;AT7;
2Z;1729;GRU;1190;UBA;1234;;0;AT7;
2Z;1729;GRU;1190;UDI;1233;;0;AT7;
2Z;1729;GRU;1190;VDC;2619;;0;AT7;
2Z;1729;GYN;1189;CGB;1180;;0;AT7;
2Z;1729;GYN;1189;PMW;2140;;0;AT7;
2Z;1729;GYN;1189;RAO;1219;;0;AT7;
2Z;1729;GYN;1189;UDI;1233;;0;AT7;
2Z;1729;OPS;3135;BSB;1169;;0;AT7;
2Z;1729;OPS;3135;CGB;1180;;0;AT7;
2Z;1729;PLU;1168;RAO;1219;;0;AT7;
2Z;1729;PMW;2140;AUX;3143;;0;AT7;
2Z;1729;PMW;2140;GYN;1189;;0;AT7;
2Z;1729;RAO;1219;BSB;1169;;0;AT7;
2Z;1729;RAO;1219;GIG;1188;;0;AT7;
2Z;1729;RAO;1219;GRU;1190;;0;AT7;
2Z;1729;RAO;1219;GYN;1189;;0;AT7;
2Z;1729;RAO;1219;PLU;1168;;0;AT7;
2Z;1729;RAO;1219;SJP;1223;;0;AT7;
2Z;1729;RAO;1219;UDI;1233;;0;AT7;
2Z;1729;SJP;1223;RAO;1219;;0;AT7;
2Z;1729;SSA;1224;BRA;3140;;0;AT7;
2Z;1729;SSA;1224;VDC;2619;;0;AT7;
2Z;1729;UBA;1234;GRU;1190;;0;AT7;
2Z;1729;UBA;1234;UDI;1233;;0;AT7;
2Z;1729;UDI;1233;GRU;1190;;0;AT7;
2Z;1729;UDI;1233;GYN;1189;;0;AT7;
2Z;1729;UDI;1233;RAO;1219;;0;AT7;
2Z;1729;UDI;1233;UBA;1234;;0;AT7;
2Z;1729;VDC;2619;GRU;1190;;0;AT7;
2Z;1729;VDC;2619;SSA;1224;;0;AT7;
3E;10739;BRL;2434;ORD;1888;;0;CNC;
3E;10739;BRL;2434;STL;1809;;0;CNC;
3E;10739;DEC;2028;ORD;1888;;0;CNC;
3E;10739;DEC;2028;STL;1809;;0;CNC;
3E;10739;JBR;1764;STL;1809;;0;CNC;
3E;10739;ORD;1888;BRL;2434;;0;CNC;
3E;10739;ORD;1888;DEC;2028;;0;CNC;
3E;10739;STL;1809;BRL;2434;;0;CNC;
3E;10739;STL;1809;DEC;2028;;0;CNC;
3E;10739;STL;1809;JBR;1764;;0;CNC;
3F;16262;CGA;3045;HYL;3046;;0;DHP;
3F;16262;CGA;3045;KTN;1878;;0;DHP;
3F;16262;HYL;3046;CGA;3045;;0;DHP;
3F;16262;HYL;3046;KTB;3048;;0;DHP;
3F;16262;HYL;3046;KTN;1878;;0;DHP;
3F;16262;KTB;3048;HYL;3046;;0;DHP;
3F;16262;KTB;3048;KTN;1878;;0;DHP;
3F;16262;KTN;1878;CGA;3045;;0;DHP;
3F;16262;KTN;1878;HYL;3046;;0;DHP;
3F;16262;KTN;1878;KTB;3048;;0;DHP;
3F;16262;KTN;1878;MTM;3047;;0;DHP;
3F;16262;MTM;3047;KTN;1878;;0;DHP;
3G;595;ACC;156;DKR;500;;0;319;
3G;595;ACC;156;LOS;170;;0;319;
3G;595;ACC;156;ROB;486;;0;319;
3G;595;BCN;570;BJL;475;;0;319;
3G;595;BJL;475;BCN;570;;0;319;
3G;595;BJL;475;DKR;500;;0;319;
3G;595;BJL;475;FNA;484;;0;319;
3G;595;CKY;2116;OXB;2398;;0;319;
3G;595;DKR;500;ACC;156;;0;319;
3G;595;DKR;500;BJL;475;;0;319;
3G;595;DKR;500;DLA;404;;0;319;
3G;595;DKR;500;FNA;484;;0;319;
3G;595;DKR;500;LOS;170;;0;319;
3G;595;DKR;500;OXB;2398;;0;319;
3G;595;DLA;404;DKR;500;;0;319;
3G;595;DLA;404;LOS;170;;0;319;
3G;595;FNA;484;BJL;475;;0;319;
3G;595;FNA;484;DKR;500;;0;319;
3G;595;FNA;484;LGW;253;;0;319;
3G;595;FNA;484;ROB;486;;0;319;
3G;595;LGW;253;FNA;484;;0;319;
3G;595;LOS;170;ACC;156;;0;319;
3G;595;LOS;170;DKR;500;;0;319;
3G;595;LOS;170;DLA;404;;0;319;
3G;595;LOS;170;ROB;486;;0;319;
3G;595;OXB;2398;CKY;2116;;0;319;
3G;595;OXB;2398;DKR;500;;0;319;
3G;595;ROB;486;ACC;156;;0;319;
3G;595;ROB;486;FNA;484;;0;319;
3G;595;ROB;486;LOS;170;;0;319;
3H;;AKV;2316;YIK;2315;;0;DH8;
3H;;AKV;2316;YPX;2899;;0;DH8;
3H;;XGR;2322;YVP;95;;0;DHT BET;
3H;;YGL;39;YGW;2307;;0;DHT;
3H;;YGL;39;YPX;2899;;0;73M;
3H;;YGL;39;YUL;89;;0;73M;
3H;;YGW;2307;YGL;39;;0;DHT;
3H;;YGW;2307;YPH;2326;;0;BET;
3H;;YGW;2307;YSK;2333;;0;DH8;
3H;;YGW;2307;YUD;2324;;0;DH8;
3H;;YGW;2307;YUL;89;;0;DH8;
3H;;YGW;2307;YUY;92;;0;DH8;
3H;;YIK;2315;AKV;2316;;0;DH8;
3H;;YIK;2315;YZG;2338;;0;DH8;
3H;;YKG;2297;YPJ;2318;;0;DHT DH8;
3H;;YKG;2297;YQC;2310;;0;DH8;
3H;;YKG;2297;YVP;95;;0;DH8 DHT;
3H;;YKL;53;YQB;65;;0;DH8;
3H;;YKL;53;YVP;95;;0;DH8 BET;
3H;;YKL;53;YWK;99;;0;BET;
3H;;YKL;53;YZV;130;;0;BET DH8;
3H;;YPH;2326;YPX;2899;;0;DH8 BET;
3H;;YPH;2326;YUD;2324;;0;DH8;
3H;;YPH;2326;YVP;95;;0;BET;
3H;;YPJ;2318;YKG;2297;;0;DHT DH8;
3H;;YPJ;2318;YTQ;2900;;0;DHT DH8;
3H;;YPJ;2318;YVP;95;;0;DHT;
3H;;YPX;2899;AKV;2316;;0;DH8;
3H;;YPX;2899;YGL;39;;0;73M;
3H;;YPX;2899;YPH;2326;;0;DH8;
3H;;YPX;2899;YVP;95;;0;BET;
3H;;YQB;65;YKL;53;;0;DH8;
3H;;YQB;65;YUL;89;;0;DH8;
3H;;YQC;2310;YKG;2297;;0;DH8;
3H;;YQC;2310;YWB;3119;;0;DH8;
3H;;YSK;2333;YGW;2307;;0;DH8;
3H;;YSK;2333;YUD;2324;;0;DH8;
3H;;YTQ;2900;YPJ;2318;;0;DHT DH8;
3H;;YTQ;2900;YVP;95;;0;DHT DH8;
3H;;YUD;2324;YGW;2307;;0;DH8;
3H;;YUD;2324;YPH;2326;;0;DH8;
3H;;YUD;2324;YSK;2333;;0;DH8;
3H;;YUL;89;YGL;39;;0;73M;
3H;;YUL;89;YGW;2307;;0;DH8;
3H;;YUL;89;YQB;65;;0;DH8;
3H;;YUL;89;YUY;92;;0;DH8;
